#CONTENT 
Class,Category,Level,Form 
WOUDC,OzoneSonde,1,1

#DATA_GENERATION 
Date,Agency,Version,ScientificAuthority 
2019-05-17,EIMO,1,Juan Crespo

#PLATFORM 
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT 
Name,Model,Number 
ECC,6A,na

#LOCATION 
Latitude,Longitude,Height 
-27.17,-109.42,49.9
 
#TIMESTAMP 
UTCOffset,Date,Time 
+00:00:00,2019-05-17,0:00:00
 
#PROFILE 
Pressure,O3PartialPressure,Temperature,RelativeHumidity,WindDirection,WindSpeed,GPHeight
827.9,2.7,9.2,71.5,229.7,7.2,1752.5
827.4,2.7,9.1,74.4,229.7,7.3,1757.9
826.9,2.7,9.1,75.3,229.7,7.4,1763
826.4,2.6,9,76.4,229.5,7.4,1767.8
825.9,2.6,9,76.8,229.3,7.5,1772.1
825.6,2.6,9,75.3,229,7.6,1775.9
825.2,2.6,9.1,73.1,228.7,7.7,1779.4
824.9,2.6,9.1,72,228.4,7.8,1782.9
824.5,2.6,9.1,71.9,228,7.9,1787.1
824,2.6,9.1,72.6,227.7,8,1792.1
823.3,2.6,9.1,74,227.3,8.1,1798.1
822.7,2.6,9.1,75.2,227,8.1,1804.2
822.2,2.6,9.1,75.7,226.6,8.2,1809.9
821.7,2.6,9,75.5,226.4,8.3,1815
821.2,2.6,9,75.3,226.1,8.3,1819.8
820.8,2.6,9,75.4,225.9,8.4,1824.5
820.2,2.6,9,75.7,225.8,8.4,1829.5
819.7,2.6,8.9,75.9,225.8,8.4,1834.4
819.3,2.6,8.9,76.1,225.8,8.5,1839
818.9,2.6,8.9,76.1,225.9,8.5,1843.4
818.5,2.6,8.8,76.1,226.1,8.5,1847.6
818,2.6,8.8,76.1,226.3,8.5,1851.8
817.6,2.6,8.7,76,226.6,8.4,1856
817.2,2.6,8.7,76,227,8.4,1860.4
816.8,2.6,8.7,76.1,227.4,8.4,1865
816.3,2.6,8.7,76.1,227.9,8.4,1869.9
815.8,2.5,8.6,76.3,228.4,8.3,1875
815.3,2.5,8.6,76.8,229,8.3,1880
814.7,2.5,8.6,77.2,229.6,8.3,1884.9
814.3,2.5,8.5,78,230.2,8.3,1889.6
813.9,2.5,8.5,79.1,230.8,8.3,1894.2
813.5,2.5,8.4,79.9,231.5,8.3,1899.1
812.9,2.5,8.4,80,232.2,8.3,1904.1
812.3,2.5,8.4,79.8,232.8,8.3,1908.5
812.1,2.5,8.4,79.7,233.5,8.4,1912.1
811.8,2.5,8.3,79.6,234.1,8.4,1915.7
811.4,2.5,8.3,79.6,234.7,8.5,1920.2
810.8,2.5,8.3,79.5,235.2,8.5,1925.6
810.2,2.5,8.3,79.6,235.7,8.6,1931.8
809.5,2.5,8.2,79.8,236.2,8.7,1938
809,2.5,8.2,79.9,236.7,8.8,1943.7
808.5,2.5,8.2,79.9,237.1,8.9,1949.3
807.9,2.5,8.2,79.6,237.4,9,1954.9
807.3,2.5,8.2,79.4,237.8,9.1,1960.5
806.9,2.5,8.1,79.1,238.1,9.3,1966
806.3,2.5,8.2,78.4,238.4,9.4,1971.4
805.8,2.5,8.2,77.1,238.7,9.5,1976.6
805.3,2.5,8.2,75.2,238.9,9.6,1981.5
804.9,2.5,8.3,72.9,239.2,9.7,1986.4
804.4,2.5,8.3,70.5,239.4,9.8,1991.3
803.9,2.5,8.4,67.9,239.6,9.8,1996.3
803.4,2.5,8.5,65,239.8,9.9,2001.2
802.9,2.5,8.6,62.6,240,9.9,2005.9
802.6,2.5,8.7,61.2,240.2,10,2010.1
802.2,2.5,8.7,60.5,240.4,10,2014.3
801.7,2.5,8.7,60.2,240.6,10,2018.7
801.3,2.5,8.7,60,240.8,9.9,2023.3
800.8,2.5,8.7,59,241.1,9.9,2028.1
800.3,2.5,8.7,56.9,241.3,9.8,2033.4
799.8,2.5,8.7,54.8,241.5,9.7,2038.9
799.2,2.5,8.7,53.5,241.8,9.6,2044.4
798.7,2.5,8.7,52.8,242.1,9.5,2049.9
798.2,2.5,8.8,52.1,242.4,9.3,2055.2
797.7,2.5,8.8,51.7,242.7,9.2,2060.5
797.2,2.5,8.8,51.2,243.1,9,2066.1
796.6,2.5,8.8,50.7,243.6,8.8,2072.2
795.9,2.5,8.8,50,244.1,8.6,2078.3
795.4,2.5,8.8,49.5,244.6,8.4,2084
794.9,2.5,8.8,48.9,245.2,8.2,2089.2
794.4,2.5,8.8,47.9,245.9,8,2093.9
794,2.6,8.8,46,246.7,7.8,2098.4
793.6,2.6,8.9,43.9,247.5,7.6,2103.2
793.1,2.6,8.9,42.4,248.4,7.4,2108.7
792.5,2.7,8.9,41.7,249.4,7.3,2114.8
791.8,2.7,8.9,41.3,250.4,7.1,2120.9
791.3,2.7,8.8,40.3,251.5,7,2126.2
791,2.7,8.8,39,252.5,6.9,2130.8
790.5,2.7,8.8,39,253.6,6.8,2135.6
790,2.7,8.7,39.2,254.7,6.7,2140.8
789.4,2.7,8.7,38.5,255.8,6.6,2146.5
788.9,2.7,8.7,37,256.8,6.6,2151.9
788.4,2.7,8.7,35.9,257.7,6.5,2156.7
788.1,2.7,8.6,35.4,258.5,6.5,2161
787.7,2.7,8.6,34.3,259.3,6.5,2164.9
787.3,2.8,8.6,33.2,259.9,6.6,2168.7
787,2.8,8.6,32.5,260.4,6.6,2172.6
786.6,2.8,8.6,31,260.8,6.7,2176.8
786,2.8,8.6,29.6,261.2,6.7,2181.8
785.5,2.8,8.5,29.8,261.4,6.8,2187
785.1,2.8,8.5,30.4,261.6,6.9,2192.4
784.5,2.8,8.4,30.3,261.7,6.9,2197.9
784,2.8,8.4,28.8,261.8,7,2203.3
783.5,2.8,8.4,27.2,261.8,7.1,2208.1
783.1,2.8,8.4,26.8,261.8,7.2,2212.5
782.8,2.8,8.3,27.1,261.8,7.3,2216.5
782.4,2.8,8.3,27.5,261.8,7.3,2220.6
781.9,2.8,8.3,27.5,261.8,7.4,2224.5
781.7,2.8,8.2,27.4,261.9,7.5,2228.2
781.3,2.8,8.2,27.3,261.9,7.5,2232.2
780.9,2.8,8.1,27.5,262,7.6,2236.7
780.4,2.8,8.1,27.8,262.2,7.6,2241.4
779.9,2.8,8.1,28.1,262.4,7.7,2246.2
