
#CONTENT 
Class,Category,Level,Form 
WOUDC,OzoneSonde,1,1

#DATA_GENERATION 
Date,Agency,Version,ScientificAuthority 
2019-04-27,EIMO,1,Juan Crespo

#PLATFORM 
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT 
Name,Model,Number 
ECC,6A,na

#LOCATION 
Latitude,Longitude,Height 
-27.17,-109.42,49.9
 
#TIMESTAMP 
UTCOffset,Date,Time 
+00:00:00,2019-04-27,00:19:00
 
#PROFILE 
Pressure,O3PartialPressure,Temperature,RelativeHumidity,WindDirection,WindSpeed,GPHeight
910.5,1.2,16.5,92.6,48,6.3,989.3
910.2,1.2,16.6,92,47.1,6.3,992.8
909.8,1.2,16.6,92,46.3,6.3,996.5
909.4,1.2,16.5,92.2,45.5,6.2,1000.1
909,1.2,16.5,92.5,44.9,6.2,1003.7
908.6,1.2,16.5,92.8,44.3,6.1,1007.3
908.2,1.2,16.4,93,43.9,6,1011
907.8,1.2,16.4,93.1,43.5,5.9,1015
907.4,1.2,16.4,93.3,43.4,5.7,1019.4
906.9,1.2,16.3,93.4,43.3,5.6,1024.1
906.3,1.2,16.3,93.3,43.4,5.5,1029
905.7,1.2,16.3,93,43.7,5.3,1034
905.2,1.2,16.2,92.8,44.1,5.1,1038.8
904.8,1.2,16.2,92.8,44.6,5,1043.7
904.3,1.2,16.1,92.9,45.2,4.8,1048.9
903.6,1.2,16.1,93,46,4.7,1054.9
902.9,1.2,16.1,92.9,46.8,4.6,1061.6
902.1,1.2,16.1,92.3,47.6,4.5,1068.6
901.4,1.2,16.2,92,48.5,4.4,1075.4
900.7,1.2,16.1,92.3,49.2,4.3,1081.6
900.1,1.2,16,92.4,49.9,4.2,1086.9
899.7,1.3,16,92,50.3,4.2,1091.2
899.4,1.3,16,91.7,50.6,4.1,1095
898.9,1.3,16,91.4,50.7,4.1,1098.7
898.5,1.3,16,91.2,50.4,4.1,1102.5
898.1,1.3,16,91.1,49.9,4.1,1106.5
897.7,1.3,16,90.9,49.1,4.1,1110.9
897.1,1.3,16,90.8,48.1,4.2,1115.8
896.6,1.3,15.9,90.9,46.7,4.2,1121.1
896,1.3,15.9,91.3,45.1,4.2,1126.9
895.3,1.3,15.9,91.5,43.4,4.3,1132.8
894.7,1.3,15.8,91.6,41.4,4.3,1138.6
894.2,1.3,15.8,91.6,39.3,4.4,1143.8
893.7,1.2,15.7,91.5,37,4.4,1148.5
893.3,1.3,15.7,91.4,34.7,4.5,1152.8
892.8,1.3,15.7,91.5,32.3,4.5,1156.9
892.4,1.3,15.6,91.6,29.8,4.6,1161.1
891.9,1.3,15.6,91.7,27.2,4.6,1165.3
891.5,1.2,15.6,91.8,24.7,4.6,1169.6
891,1.2,15.5,92,22.1,4.7,1174
890.5,1.2,15.5,92.1,19.5,4.7,1178.6
890,1.2,15.4,92.3,16.8,4.7,1183.4
889.6,1.2,15.4,92.5,14.1,4.7,1188.3
889,1.2,15.3,92.6,11.4,4.6,1193.4
888.4,1.2,15.3,92.8,8.7,4.6,1198.3
888,1.2,15.3,93.1,6,4.6,1203.2
887.5,1.2,15.2,93.4,3.3,4.5,1208.1
886.9,1.2,15.2,93.8,0.7,4.5,1213.1
886.4,1.2,15.1,93.9,358,4.4,1218
885.9,1.2,15.1,93.8,355.4,4.4,1222.9
885.4,1.2,15.1,93.7,352.8,4.3,1227.9
884.9,1.2,15.1,93.5,350.3,4.2,1232.9
884.4,1.2,15,93.3,347.9,4.1,1237.7
883.9,1.2,15,93.2,345.7,4.1,1242.3
883.4,1.2,15,93.1,343.7,4,1246.9
882.9,1.2,15,92.9,341.9,3.9,1251.5
882.4,1.2,15,92.4,340.3,3.8,1256.1
882,1.2,15,92,339,3.8,1260.7
881.5,1.2,15,91.7,337.9,3.7,1265.3
881,1.2,15,91.5,337.2,3.6,1270
880.5,1.2,15,91.4,336.7,3.5,1274.8
880,1.2,15,91.4,336.7,3.4,1279.5
879.6,1.3,14.9,91.3,336.9,3.3,1284
879.1,1.3,14.9,91,337.5,3.2,1288.4
878.7,1.3,14.9,91,338.5,3.1,1292.6
878.2,1.3,14.9,91.2,339.8,3.1,1296.9
877.8,1.3,14.9,91.4,341.4,3,1301.1
877.4,1.3,14.8,91.7,343.4,2.9,1305.6
876.9,1.3,14.8,92,345.5,2.8,1310.5
876.3,1.3,14.7,92.3,347.8,2.8,1316
875.6,1.3,14.7,92.3,350.2,2.7,1322
875,1.3,14.6,92.1,352.6,2.7,1328.1
874.4,1.3,14.6,91.9,354.9,2.6,1334.3
873.8,1.3,14.5,91.8,357.2,2.6,1340.5
873.1,1.3,14.5,91.8,359.2,2.6,1346.7
872.4,1.3,14.5,92.1,1,2.5,1352.6
871.8,1.3,14.5,92.5,2.6,2.5,1357.8
871.5,1.3,14.5,92.9,3.8,2.5,1362.3
871.1,1.3,14.5,93.1,4.7,2.4,1367
870.4,1.3,14.4,93.3,5.3,2.4,1372.4
869.8,1.3,14.4,93.4,5.4,2.4,1377.9
869.3,1.3,14.4,93.2,5.3,2.3,1383.3
868.8,1.3,14.3,93.1,4.7,2.2,1388.3
868.4,1.3,14.3,93.1,3.7,2.2,1393.2
867.8,1.3,14.3,93,2.4,2.1,1398.3
867.2,1.3,14.3,92.6,0.7,2,1403.7
866.6,1.3,14.4,91.4,358.7,1.9,1409.2
866.1,1.3,14.5,89.5,356.4,1.9,1414.5
865.6,1.3,14.6,87.8,353.8,1.8,1419.7
865.1,1.3,14.7,86.7,351,1.7,1424.6
864.6,1.3,14.7,85.3,348.1,1.6,1429.4
864.1,1.3,14.8,84,345.1,1.5,1434.1
863.7,1.3,14.8,83.4,342.1,1.5,1438.7
863.2,1.3,14.8,83.8,339.3,1.4,1443.3
862.7,1.3,14.8,84.2,336.7,1.3,1447.9
862.3,1.3,14.9,84,334.5,1.2,1452.3
861.8,1.3,14.9,82.8,332.8,1.1,1456.7
861.4,1.3,15,81.3,331.7,1,1461.1
860.9,1.3,15.1,80.2,331.6,0.9,1465.3
860.5,1.3,15.1,80.1,332.7,0.8,1469.4
860.1,1.3,15.1,80.7,335.6,0.7,1473.4
859.7,1.3,15,81.3,341.3,0.6,1477.6
859.2,1.3,15,81.8,351.5,0.5,1482.2
858.8,1.3,15,82,7.7,0.5,1487.1
858.2,1.2,15,82.1,29,0.4,1492.2
857.7,1.3,14.9,82.2,49.1,0.5,1497.2
857.2,1.3,14.9,82,63.5,0.6,1502.2
856.8,1.3,14.9,81.2,72.8,0.8,1507
856.3,1.3,14.9,79.9,78.5,0.9,1511.8
855.8,1.3,15,78.5,82.3,1.1,1516.7
855.3,1.3,15,78.1,84.7,1.3,1521.7
854.8,1.3,14.9,78.4,86.4,1.5,1526.6
854.3,1.3,14.9,78.4,87.5,1.7,1531.5
853.8,1.3,14.8,77.7,88.3,1.9,1536.2
853.3,1.3,14.8,76.3,88.9,2.1,1540.6
852.9,1.3,14.9,75,89.2,2.3,1544.8
852.5,1.3,14.9,73.9,89.5,2.4,1549.2
852.1,1.3,14.9,73,89.7,2.6,1553.9
851.5,1.3,14.9,72.1,89.8,2.7,1559
851,1.3,14.9,71,89.8,2.9,1564.1
850.5,1.3,14.9,70.5,89.7,3,1569
850,1.3,14.8,70.4,89.6,3.1,1573.7
849.6,1.3,14.8,70.4,89.5,3.2,1578.2
849.1,1.3,14.8,70.4,89.3,3.3,1582.6
848.7,1.3,14.7,70.9,89.1,3.4,1586.8
848.3,1.3,14.7,71.5,88.9,3.5,1590.8
847.9,1.3,14.6,71.6,88.7,3.5,1594.7
847.5,1.3,14.6,71.4,88.5,3.6,1598.8
847.1,1.3,14.6,71.2,88.2,3.6,1603.1
846.6,1.3,14.5,70.8,88,3.7,1607.9
846.1,1.3,14.5,70.4,87.7,3.7,1612.9
845.6,1.3,14.5,69.8,87.4,3.8,1617.9
845.1,1.3,14.4,68.7,87.2,3.8,1622.5
844.7,1.3,14.4,66.9,86.8,3.8,1626.8
844.3,1.3,14.4,65.5,86.5,3.8,1631.1
843.9,1.3,14.4,64.7,86.2,3.8,1635.8
843.3,1.3,14.4,64.3,85.9,3.8,1640.8
842.8,1.3,14.4,64.3,85.5,3.8,1645.8
842.3,1.3,14.4,64.5,85.2,3.8,1650.3
841.9,1.3,14.3,64.2,84.9,3.8,1654.3
841.6,1.3,14.3,62.9,84.6,3.7,1657.9
841.3,1.3,14.3,60.8,84.2,3.7,1661.6
840.8,1.4,14.3,59.5,83.9,3.7,1665.5
840.5,1.4,14.3,59.6,83.6,3.6,1669.6
840,1.4,14.3,60.7,83.3,3.6,1674.1
839.6,1.4,14.3,62.2,83,3.5,1678.9
839,1.4,14.4,62.9,82.7,3.4,1683.9
838.5,1.4,14.4,62.8,82.4,3.3,1688.5
838.2,1.4,14.4,62.5,82.1,3.3,1692.8
837.8,1.4,14.4,61.8,81.8,3.2,1696.9
837.3,1.4,14.4,60.2,81.4,3.1,1701.2
836.9,1.4,14.4,57.8,81.1,3,1705.7
836.4,1.4,14.5,55.5,80.7,2.9,1710.2
836,1.4,14.5,54.1,80.3,2.8,1714.5
835.6,1.4,14.5,52.7,79.9,2.7,1718.7
835.2,1.4,14.6,50,79.4,2.6,1722.9
834.8,1.4,14.7,47.1,78.9,2.5,1726.9
834.4,1.4,14.7,46.7,78.3,2.4,1730.8
834,1.4,14.7,48,77.7,2.3,1734.7
833.6,1.5,14.7,48,77,2.2,1738.6
833.2,1.5,14.7,46.1,76.2,2.1,1742.7
832.8,1.5,14.7,44.8,75.4,2.1,1746.9
832.4,1.5,14.7,44.3,74.4,2,1751.1
832,1.5,14.7,43.1,73.4,1.9,1755
831.6,1.6,14.8,40.9,72.2,1.8,1758.9
831.2,1.6,14.9,38.8,70.9,1.8,1763
830.8,1.6,15,37.4,69.5,1.7,1767.3
830.3,1.6,15,36.9,67.9,1.6,1771.7
829.9,1.6,15,36.9,66.2,1.6,1776.1
829.5,1.7,15,37,64.3,1.5,1780.9
829,1.7,14.9,37.1,62.1,1.5,1786.2
828.4,1.7,14.9,36.8,59.7,1.4,1791.6
827.9,1.7,14.9,36.2,57.1,1.4,1796.8
827.4,1.8,14.9,35.7,54.2,1.4,1801.7
827,1.8,14.9,35.3,51,1.3,1806.4
826.5,1.8,14.9,34.9,47.5,1.3,1811.1
826,1.9,14.8,34.6,43.8,1.3,1815.8
825.6,1.9,14.8,34.6,39.9,1.3,1820.4
825.1,1.9,14.8,34.9,35.8,1.3,1824.9
824.7,1.9,14.7,35.1,31.8,1.3,1829.2
824.3,1.9,14.7,35,27.8,1.4,1833.4
823.9,2,14.7,34.8,24,1.4,1837.5
823.5,2,14.7,34.8,20.5,1.5,1841.7
823.1,2,14.6,34.9,17.4,1.6,1846.2
822.6,2,14.6,35,14.7,1.7,1850.8
822.1,2,14.6,35.2,12.4,1.8,1855.5
821.7,2,14.5,35.2,10.6,1.9,1859.9
821.3,2,14.5,34.6,9.1,2.1,1864.2
820.9,2,14.5,33.9,8.1,2.2,1868.3
820.5,2,14.5,33.8,7.3,2.4,1872.4
820.1,2,14.5,34.4,6.9,2.6,1876.7
819.7,2,14.4,35.2,6.6,2.8,1881.3
819.2,2,14.4,36.4,6.6,3,1886.3
818.6,2,14.4,37.8,6.7,3.2,1891.7
818.1,2.1,14.3,38.8,7,3.4,1897.3
817.5,2.1,14.3,39,7.3,3.7,1903
817,2.1,14.2,39,7.7,3.9,1908.7
816.5,2.1,14.2,38.7,8.1,4.1,1914.6
