* These data were originally received by the WOUDC in NASA-GTE file format
* and have been translated into extCSV file format for WOUDC archiving.
* This translation process re-formats these data to comply with WOUDC standards.

* This file was generated by GTE_CSX - version 1.0.
* 'na' is used where Instrument Model or Number are not available.

* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.

* GTE Station: Easter Island, Chile

* cjo3se70.pmt
* Carreno, Jorge, Met Office, Easter Island, Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The integrated column ozone and ozone mixing ratio
* were calculated by NASA as data was not provided
* by Easter Island.  All sonde levels are reported.

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-01-20,EIMO,1.0,"Carreno, Jorge, Met Office, Easter Island, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL

#INSTRUMENT
Name,Model,Number
ECC,na,na

#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1997-04-19,23:00:13

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLcode,ObsType,Instrument,Number
193.5

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
95.1,1.364,-74.1,,,,4091,16824,4
94.1,1.364,-74.2,,,,4100,16885,4
93.4,1.461,-74.1,,,,4108,16929,4
92.5,1.461,-73.6,,,,4117,16985,4
91.5,1.559,-73.6,,,,4126,17049,4
90.6,1.656,-73.2,,,,4135,17107,4
89.8,1.656,-72.9,,,,4143,17158,4
89,1.754,-72.9,,,,4152,17211,4
88,1.851,-72.9,,,,4162,17277,4
87.3,1.851,-72.9,,,,4170,17324,4
86.6,2.143,-72.9,,,,4178,17371,3
85.6,2.241,-72.9,,,,4187,17439,3
84.7,2.436,-73.1,,,,4199,17501,3
83.8,2.533,-72.9,,,,4208,17564,3
82.8,2.631,-72.4,,,,4219,17634,3
81.8,2.436,-72.4,,,,4228,17706,3
81.5,2.436,-72.2,,,,4236,17727,3
80.5,2.338,-71.9,,,,4245,17800,3
79.6,2.436,-71.6,,,,4254,17866,3
79.1,2.338,-71.4,,,,4262,17903,3
78.2,2.436,-71.4,,,,4271,17971,3
77.6,2.728,-71.1,,,,4280,18016,3
76.8,2.825,-70.4,,,,4289,18078,3
76.2,3.02,-70.2,,,,4297,18124,3
75.4,3.215,-69.8,,,,4306,18187,3
74.6,3.313,-69.2,,,,4315,18251,3
73.9,3.41,-69.4,,,,4323,18307,2
73.3,3.313,-69.6,,,,4332,18356,2
72.5,3.507,-69.9,,,,4341,18421,2
71.9,3.702,-69.9,,,,4349,18470,2
71.1,3.605,-69.8,,,,4358,18537,2
70.4,3.41,-69.6,,,,4368,18596,2
70.2,3.507,-69.6,,,,4376,18613,2
69.2,3.702,-69.2,,,,4384,18698,2
68.4,4.092,-69.2,,,,4393,18768,2
67.8,4.482,-69.1,,,,4402,18820,2
67.2,4.677,-68.9,,,,4410,18873,2
66.8,4.774,-68.9,,,,4419,18909,2
65.8,5.164,-68.4,,,,4431,18999,2
65.2,5.164,-68.4,,,,4439,19054,2
64.5,5.651,-68.4,,,,4454,19119,2
63.6,5.456,-67.6,,,,4462,19203,1
62.8,5.651,-66.9,,,,4472,19280,1
62.3,5.846,-66.1,,,,4480,19328,1
61.8,5.943,-65.4,,,,4488,19377,1
61.2,5.748,-65.6,,,,4497,19436,1
60.5,5.943,-65.6,,,,4506,19506,1
60.1,6.333,-65.4,,,,4514,19546,1
59.4,6.43,-64.8,,,,4523,19618,1
58.9,6.528,-64.1,,,,4532,19669,1
58.3,7.21,-63.9,,,,4540,19732,1
57.7,7.307,-63.6,,,,4549,19796,1
57.1,7.21,-63.8,,,,4558,19860,1
57,7.307,-63.8,,,,4573,19870,1
55.7,7.6,-63.6,,,,4581,20012,1
55.2,7.502,-63.6,,,,4590,20067,0
54.7,7.6,-63.6,,,,4598,20123,0
54.1,8.184,-63.4,,,,4607,20191,0
53.5,7.697,-63.1,,,,4616,20259,0
53,7.794,-63.1,,,,4625,20317,0
52.5,7.989,-62.9,,,,4633,20375,0
52,8.379,-62.9,,,,4642,20434,0
51.5,8.379,-62.9,,,,4651,20494,0
50.9,8.574,-62.8,,,,4660,20566,0
50.6,8.379,-62.6,,,,4668,20602,0
50,8.282,-62.4,,,,4683,20676,0
49.2,7.794,-62.4,,,,4691,20775,0
48.7,7.307,-62.1,,,,4700,20838,0
48.2,7.502,-61.4,,,,4710,20902,0
